Title,Artist,Album,Runtime,Track_Number
Shout,Tears for Fears,Songs from the Big Chair,6:33,1
The Working Hour,Tears for Fears,Songs from the Big Chair,6:30,2
Everybody Wants to Rule the World,Tears for Fears,Songs from the Big Chair,4:11,3
Mothers Talk,Tears for Fears,Songs from the Big Chair,5:09,4
I Believe,Tears for Fears,Songs from the Big Chair,4:54,5
Broken,Tears for Fears,Songs from the Big Chair,2:38,6
Head Over Heels,Tears for Fears,Songs from the Big Chair,5:02,7
Listen,Tears for Fears,Songs from the Big Chair,6:54,8
Good Times Bad Times,Led Zeppelin,Led Zeppelin,2:46,1
Babe I'm Gonna Leave You,Led Zeppelin,Led Zeppelin,6:41,2
You Shook Me,Led Zeppelin,Led Zeppelin,6:28,3
Dazed and Confused,Led Zeppelin,Led Zeppelin,6:26,4
Your Time Is Gonna Come,Led Zeppelin,Led Zeppelin,4:34,5
Black Mountain Side,Led Zeppelin,Led Zeppelin,2:13,6
Communication Breakdown,Led Zeppelin,Led Zeppelin,2:30,7
I Can't Quit You Baby,Led Zeppelin,Led Zeppelin,4:42,8
How Many More Times,Led Zeppelin,Led Zeppelin,8:28,9
Rosie,Jackson Browne,Running on Empty,3:37,1
You Love the Thunder,Jackson Browne,Running on Empty,3:52,2
Cocaine,Jackson Browne,Running on Empty,4:55,3
Shaky Town,Jackson Browne,Running on Empty,3:36,4
Love Needs a Heart,Jackson Browne,Running on Empty,3:28,5
Nothing but Time,Jackson Browne,Running on Empty,3:05,6
The Load-Out,Jackson Browne,Running on Empty,5:38,7
Stay,Jackson Browne,Running on Empty,3:24,8
War Pigs,Black Sabbath,Paranoid,7:55,1
Paranoid,Black Sabbath,Paranoid,2:52,2
Planet Caravan,Black Sabbath,Paranoid,4:32,3
Iron Man,Black Sabbath,Paranoid,5:55,4
Electric Funeral,Black Sabbath,Paranoid,4:52,5
Hand of Doom,Black Sabbath,Paranoid,7:08,6
Rat Salad,Black Sabbath,Paranoid,2:30,7
Fairies Wear Boots,Black Sabbath,Paranoid,6:13,8
Hells Bells,AC/DC,Back in Black,5:12,1
Shoot to Thrill,AC/DC,Back in Black,5:17,2
What Do You Do for Money Honey,AC/DC,Back in Black,3:35,3
Givin the Dog a Bone,AC/DC,Back in Black,3:31,4
Let Me Put My Love Into You,AC/DC,Back in Black,4:16,5
Back in Black,AC/DC,Back in Black,4:15,6
You Shook Me All Night Long,AC/DC,Back in Black,3:30,7
Have a Drink on Me,AC/DC,Back in Black,3:57,8
Shake a Leg,AC/DC,Back in Black,4:06,9
Rock and Roll Ain't Noise Pollution,AC/DC,Back in Black,4:15,10
